PF10417.11	1-cysPrx_C
PF05988.14	DUF899
PF05990.14	DUF900
PF06001.15	DUF902
PF06004.14	DUF903
PF06006.14	DUF905
PF06012.14	DUF908
PF06014.13	DUF910
PF06025.14	DUF913
PF06028.13	DUF915
PF06030.14	DUF916
PF06032.14	DUF917
PF06033.13	DUF918
PF06034.13	DUF919
PF01940.18	DUF92
PF06037.13	DUF922
PF06041.13	DUF924
PF06048.13	DUF927
PF06051.14	DUF928
PF06053.13	DUF929
PF06059.14	DUF930
PF06067.13	DUF932
PF06073.14	DUF934
PF06074.14	DUF935
PF06075.14	DUF936
PF06078.13	DUF937
PF06080.14	DUF938
PF06092.14	DUF943
PF06097.13	DUF945
PF06103.13	DUF948
PF06107.13	DUF951
PF06108.14	DUF952
PF06110.13	DUF953
PF06115.13	DUF956
PF06121.16	DUF959
PF06124.13	DUF960
PF06125.13	DUF961
PF06127.13	DUF962
PF06131.13	DUF963
PF06147.13	DUF968
PF06149.14	DUF969
PF06157.13	DUF973
PF06159.15	DUF974
PF06161.13	DUF975
PF06163.13	DUF977
PF06166.14	DUF979
PF01947.18	DUF98
PF06168.13	DUF981
PF06169.14	DUF982
PF06170.14	DUF983
PF06173.14	DUF986
PF06174.13	DUF987
PF01949.18	DUF99
PF06186.13	DUF992
PF06187.13	DUF993
PF06191.14	DUF995
PF06195.15	DUF996
PF06196.14	DUF997
PF06197.15	DUF998
PF06198.13	DUF999
PF12377.10	DuffyBP_N
PF05424.13	Duffy_binding
PF10204.11	DuoxA
PF00674.20	DUP
PF01207.19	Dus
PF06337.14	DUSP
PF00692.21	dUTPase
PF08761.13	dUTPase_2
PF08137.14	DVL
PF19060.2	DVNP
PF08783.13	DWNN
PF01666.19	DX
PF13288.8	DXPR_C
PF08436.14	DXP_redisom_C
PF02670.18	DXP_reductoisom
PF13292.8	DXP_synthase_N
PF09742.11	Dymeclin
PF12455.10	Dynactin
PF07426.13	Dynactin_p22
PF05502.15	Dynactin_p62
PF01031.22	Dynamin_M
PF00350.25	Dynamin_N
PF04912.16	Dynamitin
PF17852.3	Dynein_AAA_lid
PF15867.7	Dynein_attach_N
PF18199.3	Dynein_C
PF03028.17	Dynein_heavy
PF11540.10	Dynein_IC2
PF01221.20	Dynein_light
PF04261.14	Dyp_perox
PF04440.18	Dysbindin
PF14432.8	DYW_deaminase
PF07528.16	DZF
PF13815.8	Dzip-like_N
PF12773.9	DZR
PF18912.2	DZR_2
PF17492.4	D_CNTX
PF00122.22	E1-E2_ATPase
PF14463.8	E1-N
PF16191.7	E1_4HB
PF02221.17	E1_DerP2_DerF2
PF00676.22	E1_dh
PF16190.7	E1_FCCH
PF09358.12	E1_UFD
PF08199.13	E2
PF16421.7	E2F_CC-MB
PF02319.22	E2F_TDP
PF11570.10	E2R135
PF08825.12	E2_bind
PF02817.19	E3_binding
PF11547.10	E3_UbLigase_EDD
PF13764.8	E3_UbLigase_R4
PF18091.3	E3_UbLigase_RBR
PF19423.1	E3_UBR4_N
PF09743.11	E3_UFM1_ligase
PF00518.19	E6
PF00527.20	E7
PF17467.4	E7R
PF12180.10	EABR
PF19953.1	EACC1
PF19955.1	EAD1
PF19954.1	EAD10
PF19964.1	EAD11
PF19956.1	EAD2
PF19959.1	EAD4
PF19957.1	EAD5
PF19958.1	EAD6
PF19960.1	EAD7
PF19961.1	EAD8
PF19962.1	EAD9
PF13935.8	Ead_Ea22
PF09816.11	EAF
PF07904.15	Eaf7
PF16713.7	EAGR_box
PF00563.22	EAL
PF00892.22	EamA
PF04157.18	EAP30
PF10238.11	Eapp_C
PF07897.13	EAR
PF10093.11	EarP
PF15981.7	EAV_GP5
PF01309.20	EAV_GS
PF01683.20	EB
PF03271.19	EB1
PF05937.13	EB1_binding
PF11556.10	EBA-175_VI
PF05505.14	Ebola_NP
PF05241.14	EBP
PF05890.14	Ebp2
PF09007.13	EBP50_C
PF17255.4	EbsA
PF02905.16	EBV-NA1
PF05009.14	EBV-NA3
PF09459.12	EB_dh
PF18740.3	EC042_2821
PF19053.2	EccD
PF11203.10	EccE
PF18432.3	ECD
PF07155.14	ECF-ribofla_trS
PF12822.9	ECF_trnsprt
PF00378.22	ECH_1
PF16113.7	ECH_2
PF02958.22	EcKL
PF12855.9	Ecl1
PF04736.14	Eclosion
PF05782.13	ECM1
PF15463.8	ECM11
PF13001.9	Ecm29
PF12454.10	Ecm33
PF07669.13	Eco57I
PF08463.12	EcoEI_R_C
PF12008.10	EcoR124_C
PF02963.18	EcoRI
PF09019.13	EcoRII-C
PF09217.12	EcoRII-N
PF13651.8	EcoRI_methylase
PF03974.15	Ecotin
PF18649.3	EcpB_C
PF14382.8	ECR1_N
PF05975.14	EcsB
PF12787.9	EcsC
PF15820.7	ECSCR
PF06239.13	ECSIT
PF14784.8	ECSIT_C
PF06457.13	Ectatomin
PF08917.12	ecTbetaR2
PF06339.14	Ectoine_synth
PF16598.7	Edc3_linker
PF14381.8	EDR1
PF07059.14	EDR2_C
PF18117.3	EDS1_EP
PF15863.7	EELM2
PF10587.11	EF-1_beta_acid
PF07299.13	EF-G-binding_N
PF00036.34	EF-hand_1
PF14788.8	EF-hand_10
PF08976.13	EF-hand_11
PF17901.3	EF-hand_12
PF17958.3	EF-hand_13
PF17959.3	EF-hand_14
PF09068.13	EF-hand_2
PF09069.13	EF-hand_3
PF12763.9	EF-hand_4
PF13202.8	EF-hand_5
PF13405.8	EF-hand_6
PF13499.8	EF-hand_7
PF13833.8	EF-hand_8
PF14658.8	EF-hand_9
PF09279.13	EF-hand_like
PF00647.21	EF1G
PF00736.21	EF1_GNE
PF12199.10	efb-c
PF14884.8	EFF-AFF
PF04518.14	Effector_1
PF10153.11	Efg1
PF00679.26	EFG_C
PF14492.8	EFG_III
PF03764.20	EFG_IV
PF08726.12	EFhand_Ca_insen
PF01132.22	EFP
PF08207.14	EFP_N
PF11957.10	efThoc1
PF16004.7	EFTUD2
PF08355.14	EF_assoc_1
PF08356.14	EF_assoc_2
PF00889.21	EF_TS
PF00008.29	EGF
PF07974.15	EGF_2
PF12947.9	EGF_3
PF04863.15	EGF_alliinase
PF07645.17	EGF_CA
PF12946.9	EGF_MSP1_1
PF18720.3	EGF_Tenascin
PF01303.19	Egg_lysin
PF11327.10	Egh16-like
PF11430.10	EGL-1
PF10622.11	Ehbp
PF16880.7	EHD_N
PF06441.14	EHN
PF09528.12	Ehrlichia_rpt
PF15611.8	EH_Signature
PF07264.13	EI24
PF00971.20	EIAV_GP90
PF11129.10	EIAV_Rev
PF01176.21	eIF-1a
PF05470.14	eIF-3c_N
PF05091.14	eIF-3_zeta
PF06273.13	eIF-4B
PF01287.22	eIF-5a
PF01873.19	eIF-5_eIF-2B
PF01912.20	eIF-6
PF08662.13	eIF2A
PF09173.13	eIF2_C
PF12353.10	eIF3g
PF19445.1	eIF3h_C
PF18005.3	eIF3m_C_helix
PF09440.12	eIF3_N
PF12807.9	eIF3_p135
PF08597.12	eIF3_subunit
PF10477.11	EIF4E-T
PF07541.14	EIF_2_alpha
PF05456.13	eIF_4EBP
PF12152.10	eIF_4G1
PF03608.15	EII-GUT
PF03609.16	EII-Sor
PF03610.18	EIIA-man
PF07663.13	EIIBC-GUT_C
PF03612.16	EIIBC-GUT_N
PF03611.16	EIIC-GAT
PF03613.16	EIID-AGA
PF04873.15	EIN3
PF06577.14	EipA
PF08904.13	EipB_like
PF12757.9	Eisosome1
PF17986.3	EKAL
PF16832.7	EKLF_TAD1
PF16833.7	EKLF_TAD2
PF10371.11	EKR
PF03317.15	ELF
PF12310.10	Elf-1_N
PF05129.15	Elf1
PF07011.13	Elf4
PF00208.23	ELFV_dehydrog
PF02812.20	ELFV_dehydrog_N
PF02323.17	ELH
PF00964.19	Elicitin
PF03789.15	ELK
PF10390.11	ELL
PF01448.26	ELM2
PF04727.15	ELMO_CED12
PF01151.20	ELO
PF15870.7	EloA-BP1
PF09285.13	Elong-fact-P_C
PF06881.13	Elongin_A
PF10483.11	Elong_Iki1
PF09807.11	ELP6
PF13934.8	ELYS
PF16687.7	ELYS-bb
PF02488.17	EMA
PF16505.7	Emaravirus_P4
PF07774.15	EMC1_C
PF01956.18	EMC3_TMCO1
PF07019.14	EMC6
PF19094.2	EMC6_arch
PF03587.16	EMG1
PF07546.15	EMI
PF01105.26	EMP24_GP25L
PF02990.18	EMP70
PF13536.8	EmrE
PF15362.8	Enamelin
PF12761.9	End3
PF10576.11	EndIII_4Fe-2S
PF07010.14	Endomucin
PF09195.13	Endonuc-BglII
PF09194.12	Endonuc-BsobI
PF09124.12	Endonuc-dimeris
PF09233.13	Endonuc-EcoRV
PF09254.13	Endonuc-FokI_C
PF09226.13	Endonuc-HincII
PF09208.12	Endonuc-MspI
PF09225.12	Endonuc-PvuII
PF04231.15	Endonuclease_1
PF04493.16	Endonuclease_5
PF02945.17	Endonuclease_7
PF01223.25	Endonuclease_NS
PF13930.8	Endonuclea_NS_2
PF14562.8	Endonuc_BglI
PF10107.11	Endonuc_Holl
PF09062.12	Endonuc_subdom
PF16800.7	Endopep_inhib
PF06482.13	Endostatin
PF04667.19	Endosulfine
PF00322.19	Endothelin
PF03944.16	Endotoxin_C
PF18449.3	Endotoxin_C2
PF00555.21	Endotoxin_M
PF09131.12	Endotoxin_mid
PF03945.16	Endotoxin_N
PF14436.8	EndoU_bacteria
PF12195.10	End_beta_barrel
PF12217.10	End_beta_propel
PF12218.10	End_N_terminal
PF12219.10	End_tail_spike
PF10525.11	Engrail_1_C_sig
PF13864.8	Enkurin
PF07055.14	Eno-Rase_FAD_bd
PF12242.10	Eno-Rase_NADH_b
PF08247.13	ENOD40
PF03386.16	ENOD93
PF00113.24	Enolase_C
PF18374.3	Enolase_like_N
PF03952.18	Enolase_N
PF12241.10	Enoyl_reductase
PF03735.16	ENT
PF08951.12	EntA_Immun
PF08085.13	Entericidin
PF01375.19	Enterotoxin_a
PF01376.20	Enterotoxin_b
PF08090.13	Enterotoxin_HS1
PF02048.18	Enterotoxin_ST
PF01417.22	ENTH
PF09590.12	Env-gp36
PF10163.11	EnY2
PF12326.10	EOS1
PF15790.7	EP400_N
PF18635.3	EpCAM_N
PF00811.20	Ependymin
PF17181.6	EPF
PF14575.8	EphA2_TM
PF00812.19	Ephrin
PF01404.21	Ephrin_lbd
PF07699.15	Ephrin_rec_like
PF14654.8	Epiglycanin_C
PF05647.13	Epiglycanin_TR
PF01370.23	Epimerase
PF02350.21	Epimerase_2
PF10992.10	Epiplasmin
PF10513.11	EPL1
PF04315.14	EpmC
PF15223.8	EPOP
PF09067.12	EpoR_lig-bind
PF00758.20	EPO_TPO
PF07268.13	EppA_BapA
PF14897.8	EpsG
PF08998.13	Epsilon_antitox
PF00275.22	EPSP_synthase
PF08019.14	EptA_B_N
PF03736.19	EPTP
PF11772.10	EpuA
PF08135.13	EPV_E5
PF06502.13	Equine_IAV_S2
PF01133.19	ER
PF11838.10	ERAP1_C
PF12497.10	ERbeta_N
PF16203.7	ERCC3_RAD25_C
PF02732.17	ERCC4
PF04404.14	ERF
PF03463.17	eRF1_1
PF03464.17	eRF1_2
PF03465.17	eRF1_3
PF10256.11	Erf4
PF03694.15	Erg28
PF04622.14	ERG2_Sigma1R
PF01222.19	ERG4_ERG24
PF13850.8	ERGIC_N
PF15002.8	ERK-JNK_inhib
PF00769.21	ERM
PF06308.13	ErmC
PF04137.17	ERO1
PF07749.14	ERp29
PF07912.15	ERp29_N
PF06780.13	Erp_C
PF04148.15	Erv26
PF09277.13	Erythro-docking
PF06795.13	Erythrovirus_X
PF05139.16	Erythro_esteras
PF16915.7	Eryth_link_C
PF08051.13	Ery_res_leader1
PF08057.13	Ery_res_leader2
PF00810.20	ER_lumen_recept
PF09751.11	Es2
PF03238.15	ESAG1
PF05871.14	ESCRT-II
PF18209.3	ESF1
PF15952.7	ESM4
PF16590.7	ESP
PF03433.15	EspA
PF18879.2	EspA_EspE
PF05802.13	EspB
PF18625.3	EspB_PE
PF04806.14	EspF
PF06872.13	EspG
PF13018.8	ESPR
PF12743.9	ESR1_C
PF10661.11	EssA
PF10183.11	ESSS
PF10374.11	EST1
PF10373.11	EST1_DNA_bind
PF18435.3	EstA_Ig_like
PF00756.22	Esterase
PF10503.11	Esterase_PHB
PF19114.2	EsV_1_7_cys
PF14011.8	ESX-1_EspG
PF01684.18	ET
PF15350.8	ETAA1
PF04800.14	ETC_C1_NDUFA4
PF04716.16	ETC_C1_NDUFA5
PF20162.1	Etd1
PF01012.23	ETF
PF00766.21	ETF_alpha
PF05187.15	ETF_QO
PF07110.13	EthD
PF17577.4	ETM
PF06670.13	Etmic-2
PF09716.12	ETRAMP
PF00178.24	Ets
PF19525.1	Ets1_N_flank
PF04621.15	ETS_PEA3_N
PF03318.15	ETX_MTX2
PF05842.13	Euplotes_phero
PF06937.13	EURL
PF06277.13	EutA
PF06751.13	EutB
PF05985.13	EutC
PF04346.14	EutH
PF16365.7	EutK_C
PF03319.15	EutN_CcmL
PF06249.14	EutQ
PF19429.1	EVA_Class_A
PF12297.10	EVC2_like
PF01878.20	EVE
PF18270.3	Evf
PF05399.13	EVI2A
PF04777.15	Evr1_Alr
PF02472.18	ExbD
PF07825.13	Exc
PF05901.13	Excalibur
PF09810.11	Exo5
PF03081.17	Exo70
PF16528.7	Exo84_C
PF06055.14	ExoD
PF18026.3	Exog_C
PF06630.13	Exonuc_VIII
PF02601.17	Exonuc_VII_L
PF02609.18	Exonuc_VII_S
PF04257.16	Exonuc_V_gamma
PF08411.12	Exonuc_X-T_C
PF18559.3	Exop_C
PF10447.11	EXOSC1
PF09721.12	Exosortase_EpsH
PF03016.17	Exostosin
PF09101.12	Exotox-A_bind
PF09009.12	Exotox-A_cataly
PF09102.12	Exotox-A_target
PF03372.25	Exo_endo_phos
PF14529.8	Exo_endo_phos_2
PF19580.1	Exo_endo_phos_3
PF01357.23	Expansin_C
PF19273.1	Exportin-5
PF19282.1	Exportin-T
PF03124.16	EXS
PF16806.7	ExsD
PF06904.14	Extensin-like_C
PF02095.17	Extensin_1
PF04554.15	Extensin_2
PF18600.3	Ezh2_MCSS
PF18601.3	EZH2_N
PF11616.10	EZH2_WD-Binding
PF06160.14	EzrA
PF06752.14	E_Pc_C
PF06360.13	E_raikovi_mat
PF09645.12	F-112
PF01267.19	F-actin_cap_A
PF00646.35	F-box
PF12937.9	F-box-like
PF13013.8	F-box-like_2
PF15966.7	F-box_4
PF18511.3	F-box_5
PF00469.22	F-protein
PF10791.11	F1F0-ATPsyn_F
PF04075.16	F420H2_quin_red
PF01996.18	F420_ligase
PF03807.19	F420_oxidored
PF00754.27	F5_F8_type_C
PF08736.13	FA
PF01557.20	FAA_hydrolase
PF09298.13	FAA_hydrolase_N
PF18288.3	FAA_hydro_N_2
PF07977.15	FabA
PF14826.8	FACT-Spt16_Nlob
PF02913.21	FAD-oxidase_C
PF12318.10	FAD-SLDH
PF09403.12	FadA
PF07840.14	FadR_C
PF00667.22	FAD_binding_1
PF00890.26	FAD_binding_2
PF01494.21	FAD_binding_3
PF01565.25	FAD_binding_4
PF00941.23	FAD_binding_5
PF00970.26	FAD_binding_6
PF03441.16	FAD_binding_7
PF08022.14	FAD_binding_8
PF08021.13	FAD_binding_9
PF12831.9	FAD_oxidored
PF18371.3	FAD_SOX
PF06574.14	FAD_syn
PF08714.13	Fae
PF08392.14	FAE1_CUT1_RppA
PF04703.14	FaeA
PF11250.10	FAF
PF06905.15	FAIM1
PF04385.17	FAINT
PF15068.8	FAM101
PF15434.8	FAM104
PF14160.8	FAM110_C
PF14161.8	FAM110_N
PF15388.8	FAM117
PF15067.8	FAM124
PF15010.8	FAM131
PF15129.8	FAM150
PF15722.7	FAM153
PF15069.8	FAM163
PF14981.8	FAM165
PF11652.10	FAM167
PF14851.8	FAM176
PF14774.8	FAM177
PF15173.8	FAM180
PF15238.8	FAM181
PF14886.8	FAM183
PF15665.7	FAM184
PF10187.11	FAM192A_Fyv6_N
PF15914.7	FAM193_C
PF14977.8	FAM194
PF14799.8	FAM195
PF15265.8	FAM196
PF15051.8	FAM198
PF15814.7	FAM199X
PF15206.8	FAM209
PF06702.14	Fam20C
PF15342.8	FAM212
PF15107.8	FAM216B
PF15344.8	FAM217
PF15260.8	FAM219A
PF15487.8	FAM220
PF14753.8	FAM221
PF15258.8	FAM222A
PF15193.8	FAM24
PF15825.7	FAM25
PF15832.7	FAM27
PF08555.12	FAM32A
PF15793.7	FAM35_C
PF14642.8	FAM47
PF15242.8	FAM53
PF15396.8	FAM60A
PF14967.8	FAM70
PF14976.8	FAM72
PF14650.8	FAM75
PF16046.7	FAM76
PF07894.14	FAM83
PF14904.8	FAM86
PF14648.8	FAM91_C
PF14647.8	FAM91_N
PF06730.13	FAM92
PF15146.8	FANCAA
PF15751.7	FANCA_interact
PF14631.8	FancD2
PF15124.8	FANCD2OS
PF11107.10	FANCF
PF14679.8	FANCI_HD1
PF14680.8	FANCI_HD2
PF14675.8	FANCI_S1
PF14674.8	FANCI_S1-cap
PF14676.8	FANCI_S2
PF14677.8	FANCI_S3
PF14678.8	FANCI_S4
PF11793.10	FANCL_C
PF09765.11	FANCL_d1
PF18890.2	FANCL_d2
PF18891.2	FANCL_d3
PF16783.7	FANCM-MHF_bd
PF03511.16	Fanconi_A
PF15865.7	Fanconi_A_N
PF02106.17	Fanconi_C
PF18081.3	FANC_SAP
PF16350.7	FAO_M
PF07174.13	FAP
PF12018.10	FAP206
PF03961.15	FapA
PF01149.26	Fapy_DNA_glyco
PF04750.16	Far-17a_AIG1
PF03101.17	FAR1
PF01581.18	FARP
PF02469.24	Fasciclin
PF06268.15	Fascin
PF06743.17	FAST_1
PF08368.14	FAST_2
PF18325.3	Fas_alpha_ACP
PF18314.3	FAS_I_H
PF17951.3	FAS_meander
PF17828.3	FAS_N
PF02259.25	FAT
PF02260.22	FATC
PF19333.1	FAXC_N
PF00487.26	FA_desaturase
PF03405.16	FA_desaturase_2
PF11510.10	FA_FANCE
PF04116.15	FA_hydroxylase
PF02504.17	FA_synthesis
PF04300.15	FBA
PF07734.15	FBA_1
PF07735.19	FBA_2
PF08268.14	FBA_3
PF08387.12	FBD
PF19270.1	FBO_C
PF00316.22	FBPase
PF06874.13	FBPase_2
PF01950.18	FBPase_3
PF18913.2	FBPase_C
PF03320.15	FBPase_glpX
PF17845.3	FbpC_C_terminal
PF16571.7	FBP_C
PF19729.1	FBXL18_C
PF07367.13	FB_lectin
PF07729.14	FCD
PF04900.14	Fcf1
PF08698.13	Fcf2
PF00611.25	FCH
PF10862.10	FcoT
PF09309.12	FCP1_C
PF09242.13	FCSD-flav_bind
PF12892.9	FctA
PF15215.8	FDC-SP
PF09532.12	FDF
PF02634.17	FdhD-NarQ
PF04216.14	FdhE
PF11390.10	FdsD
PF05523.13	FdtA
PF03147.16	FDX-ACB
PF00465.21	Fe-ADH
PF13685.8	Fe-ADH_2
PF04384.15	Fe-S_assembly
PF01521.22	Fe-S_biosyn
PF07692.13	Fea1
PF01032.20	FecCD
PF04773.15	FecR
PF09252.12	Feld-I_B
PF05666.13	Fels1
PF02388.18	FemAB
PF04339.14	FemAB_like
PF04023.16	FeoA
PF12669.9	FeoB_associated
PF07664.14	FeoB_C
PF17910.3	FeoB_Cyto
PF02421.20	FeoB_N
PF09012.12	FeoC
PF00111.29	Fer2
PF01799.22	Fer2_2
PF13085.8	Fer2_3
PF13510.8	Fer2_4
PF04324.17	Fer2_BFD
PF00037.29	Fer4
PF13237.8	Fer4_10
PF13247.8	Fer4_11
PF13353.8	Fer4_12
PF13370.8	Fer4_13
PF13394.8	Fer4_14
PF13459.8	Fer4_15
PF13484.8	Fer4_16
PF13534.8	Fer4_17
PF13746.8	Fer4_18
PF06902.13	Fer4_19
PF12797.9	Fer4_2
PF14691.8	Fer4_20
PF14697.8	Fer4_21
PF17179.6	Fer4_22
PF18009.3	Fer4_23
PF18109.3	Fer4_24
PF12798.9	Fer4_3
PF12800.9	Fer4_4
PF12801.9	Fer4_5
PF12837.9	Fer4_6
PF12838.9	Fer4_7
PF13183.8	Fer4_8
PF13187.8	Fer4_9
PF00142.20	Fer4_NifH
PF08165.13	FerA
PF08150.14	FerB
PF08151.14	FerI
PF16165.7	Ferlin_C
PF09380.12	FERM_C
PF16511.7	FERM_f0
PF18379.3	FERM_F1
PF18377.3	FERM_F2
PF00373.20	FERM_M
PF09379.12	FERM_N
PF18038.3	FERM_N_2
PF16947.7	Ferredoxin_N
PF01794.21	Ferric_reduct
PF00210.26	Ferritin
PF12902.9	Ferritin-like
PF13668.8	Ferritin_2
PF00762.21	Ferrochelatase
PF04060.15	FeS
PF08609.12	Fes1
PF01883.21	FeS_assembly_P
PF02941.17	FeThRed_A
PF02943.17	FeThRed_B
PF07763.15	FEZ
PF06818.17	Fez1
PF05996.14	Fe_bilin_red
PF01325.21	Fe_dep_repress
PF02742.17	Fe_dep_repr_C
PF02906.16	Fe_hyd_lg_C
PF02256.19	Fe_hyd_SSU
PF01846.21	FF
PF01839.25	FG-GAP
PF14312.8	FG-GAP_2
PF13517.8	FG-GAP_3
PF18072.3	FGAR-AT_linker
PF18076.3	FGAR-AT_N
PF05013.14	FGase
PF03781.18	FGE-sulfatase
PF00167.20	FGF
PF06473.14	FGF-BP1
PF02782.18	FGGY_C
PF00370.23	FGGY_N
PF02181.25	FH2
PF00498.28	FHA
PF17913.3	FHA_2
PF00771.22	FHIPEP
PF06276.14	FhuF
PF11575.10	FhuF_C
PF15819.7	Fibin
PF05427.13	FIBP
PF01269.19	Fibrillarin
PF10113.11	Fibrillarin_2
PF18193.3	Fibrillin_U_N
PF12160.10	Fibrinogen_aC
PF08017.13	Fibrinogen_BP
PF00147.20	Fibrinogen_C
PF07921.14	Fibritin_C
PF07294.13	Fibroin_P25
PF08702.12	Fib_alpha
PF09603.12	Fib_succ_major
PF02661.20	Fic
PF13784.8	Fic_N
PF15941.7	FidL_like
PF12351.10	Fig1
PF13553.8	FIIND
PF06837.13	Fijivirus_P9-2
PF05880.13	Fiji_64_capsid
PF03516.15	Filaggrin
PF00038.23	Filament
PF04732.16	Filament_head
PF00630.21	Filamin
PF01611.18	Filo_glycop
PF06389.13	Filo_VP24
PF02097.17	Filo_VP35
PF05594.16	Fil_haemagg
PF13332.8	Fil_haemagg_2
PF09222.12	Fim-adh_lectin
PF16970.7	FimA
PF00419.22	Fimbrial
PF04449.14	Fimbrial_CS1
PF02432.17	Fimbrial_K88
PF14481.8	Fimbrial_PilY2
PF15495.8	Fimbrillin_C
PF09160.12	FimH_man-bind
PF17672.3	FIMP
PF17300.4	FIN1
PF12602.10	FinO_N
PF05182.15	Fip1
PF14853.8	Fis1_TPR_C
PF14852.8	Fis1_TPR_N
PF14484.8	FISNA
PF08495.12	FIST
PF10442.11	FIST_C
PF17357.4	FIT1_2
PF07554.15	FIVAR
PF11614.10	FixG_C
PF05751.13	FixH
PF02433.17	FixO
PF14715.8	FixP_N
PF05545.13	FixQ
PF03597.17	FixS
PF18046.3	FKBP26_C
PF00254.30	FKBP_C
PF01346.20	FKBP_N
PF18023.3	FKBP_N_2
PF14288.8	FKS1_dom1
PF19737.1	FKTN_N
PF04620.14	FlaA
PF05377.13	FlaC_arch
PF07559.16	FlaE
PF07309.13	FlaF
PF03646.17	FlaG
PF03614.15	Flag1_repress
PF12611.10	Flagellar_put
PF05149.14	Flagellar_rod
PF00700.23	Flagellin_C
PF08884.13	Flagellin_D3
PF07196.15	Flagellin_IN
PF00669.22	Flagellin_N
PF01613.20	Flavin_Reduct
PF01003.21	Flavi_capsid
PF07652.16	Flavi_DEAD
PF00869.22	Flavi_glycoprot
PF02832.18	Flavi_glycop_C
PF01004.21	Flavi_M
PF00948.23	Flavi_NS1
PF01005.21	Flavi_NS2A
PF01002.21	Flavi_NS2B
PF01350.19	Flavi_NS4A
PF01349.19	Flavi_NS4B
PF00972.22	Flavi_NS5
PF01570.19	Flavi_propep
PF00258.27	Flavodoxin_1
PF02525.19	Flavodoxin_2
PF12641.9	Flavodoxin_3
PF12682.9	Flavodoxin_4
PF12724.9	Flavodoxin_5
PF07972.13	Flavodoxin_NdrI
PF01687.19	Flavokinase
PF02441.21	Flavoprotein
PF06289.13	FlbD
PF07378.13	FlbT
PF06490.13	FleQ
PF00286.22	Flexi_CP
PF08358.12	Flexi_CP_N
PF03963.16	FlgD
PF13860.8	FlgD_ig
PF13861.8	FLgD_tudor
PF02107.18	FlgH
PF02119.18	FlgI
PF04316.15	FlgM
PF05130.14	FlgN
PF17680.3	FlgO
PF16538.7	FlgT_C
PF16539.7	FlgT_M
PF16548.7	FlgT_N
PF06429.15	Flg_bbr_C
PF00460.22	Flg_bb_rod
PF02120.18	Flg_hook
PF09479.12	Flg_new
PF18998.2	Flg_new_2
PF05280.13	FlhC
PF05247.15	FlhD
PF06366.15	FlhE
PF12445.10	FliC
PF12613.10	FliC_SP
PF07195.14	FliD_C
PF02465.20	FliD_N
PF02049.20	FliE
PF01706.18	FliG_C
PF14841.8	FliG_M
PF14842.8	FliG_N
PF02108.18	FliH
PF02050.18	FliJ
PF03748.16	FliL
PF10306.11	FLILHELTA
PF02154.17	FliM
PF01052.22	FliMN_C
PF16973.7	FliN_N
PF04347.15	FliO
PF00813.22	FliP
PF02561.16	FliS
PF16522.7	FliS_cochap
PF05400.15	FliT
PF02623.17	FliW
PF10768.11	FliX
PF10182.11	Flo11
PF00624.20	Flocculin
PF13928.8	Flocculin_t3
PF15975.7	Flot
PF16982.7	Flp1_like
PF02662.18	FlpD
PF05202.14	Flp_C
PF04964.16	Flp_Fap
PF03930.16	Flp_N
PF02947.16	Flt3_lig
PF17891.3	FluMu_N
PF04772.14	Flu_B_M2
PF02942.16	Flu_B_NS1
PF03506.15	Flu_C_NS1
PF03555.16	Flu_C_NS2
PF00598.21	Flu_M1
PF08289.13	Flu_M1_C
PF00599.19	Flu_M2
PF00506.20	Flu_NP
PF00600.21	Flu_NS1
PF00601.21	Flu_NS2
PF00603.19	Flu_PA
PF00602.19	Flu_PB1
PF00604.19	Flu_PB2
PF14282.8	FlxA
PF04500.18	FLYWCH
PF15423.8	FLYWCH_N
PF16662.7	FLYWCH_u
PF03069.17	FmdA_AmdA
PF02663.16	FmdE
PF09766.11	FmiP_Thoc5
PF04205.16	FMN_bind
PF04299.14	FMN_bind_2
PF01070.20	FMN_dh
PF03358.17	FMN_red
PF00743.21	FMO-like
PF17315.4	FMP23
PF10344.11	Fmp27
PF10347.11	Fmp27_GFWDK
PF10305.11	Fmp27_SW
PF10359.11	Fmp27_WPPW
PF07091.13	FmrO
PF00039.20	fn1
PF00040.21	fn2
PF00041.23	fn3
PF14310.8	Fn3-like
PF16893.7	fn3_2
PF14686.8	fn3_3
PF16794.7	fn3_4
PF06280.14	fn3_5
PF17766.3	fn3_6
PF18447.3	FN3_7
PF13287.8	Fn3_assoc
PF17808.3	fn3_PAP
PF05725.14	FNIP
PF14638.8	FNIP_C
PF14637.8	FNIP_M
PF14636.8	FNIP_N
PF02986.16	Fn_bind
PF03274.16	Foamy_BEL
PF03408.16	Foamy_virus_ENV
PF11229.10	Focadhesin
PF03623.15	Focal_AT
PF15888.7	FOG_N
PF11817.10	Foie-gras_1
PF02980.18	FokI_C
PF02981.17	FokI_N
PF01770.20	Folate_carrier
PF03024.16	Folate_rec
PF02152.20	FolB
PF11704.10	Folliculin
PF16692.7	Folliculin_C
PF09289.12	FOLN
PF09398.12	FOP_dimer
PF13865.8	FoP_duplication
PF00250.20	Forkhead
PF08430.14	Forkhead_N
PF09163.13	Form-deh_trans
PF18382.3	Formin_GBD_N
PF02911.20	Formyl_trans_C
PF00551.21	Formyl_trans_N
PF01226.19	Form_Nir_trans
PF12414.10	Fox-1_C
